symbol,direction,entry_time_ist,entry_price,exit_time_ist,exit_price,exit_reason,pnl_pct,regime_at_entry,entry_quality
FET/USD,SHORT,2025-12-28 16:23:00,0.2175,2025-12-28 16:29:00,0.2174,SIGNAL_DECAY,0.4597701149424781,LOW_VOL,MEDIUM
BONK/USD,LONG,2025-12-28 16:49:00,8.079e-06,2025-12-28 16:54:00,8.079e-06,SIGNAL_DECAY,0.0,LOW_VOL,MEDIUM
NEAR/USD,SHORT,2025-12-28 16:58:00,1.594,2025-12-28 17:02:00,1.595,SIGNAL_DECAY,-0.6273525721454767,LOW_VOL,MEDIUM
SHIB/USD,SHORT,2025-12-28 16:49:00,7.33e-06,2025-12-28 17:47:00,7.33e-06,PROFIT_RATCHET,0.0,LOW_VOL,MEDIUM
FET/USD,LONG,2025-12-28 17:59:00,0.2184,2025-12-28 18:04:00,0.2184,SIGNAL_DECAY,0.0,LOW_VOL,MEDIUM
SOL/USD,LONG,2025-12-28 18:03:00,124.53,2025-12-28 18:07:00,124.5,SIGNAL_DECAY,-0.24090580582992963,LOW_VOL,MEDIUM
BONK/USD,LONG,2025-12-28 18:03:00,8.056e-06,2025-12-28 18:09:00,8.056e-06,SIGNAL_DECAY,0.0,LOW_VOL,MEDIUM
NEAR/USD,SHORT,2025-12-28 18:26:00,1.583,2025-12-28 18:29:00,1.583,SIGNAL_DECAY,0.0,CHOP,MEDIUM
NEAR/USD,SHORT,2025-12-28 19:05:00,1.582,2025-12-28 19:08:00,1.585,STOP_LOSS,-1.8963337547407657,LOW_VOL,LOW
PEPE/USD,LONG,2025-12-28 19:47:00,4.206e-06,2025-12-28 19:54:00,4.203e-06,STOP_LOSS,-0.7132667617688544,LOW_VOL,MEDIUM
WIF/USD,LONG,2025-12-28 20:00:00,0.3188,2025-12-28 20:01:00,0.3188,SIGNAL_DECAY,0.0,CHOP,MEDIUM
BONK/USD,LONG,2025-12-28 20:00:00,8.081e-06,2025-12-28 20:01:00,8.081e-06,SIGNAL_DECAY,0.0,CHOP,MEDIUM
FET/USD,LONG,2025-12-28 20:00:00,0.2184,2025-12-28 20:03:00,0.2182,SIGNAL_DECAY,-0.9157509157509419,CHOP,MEDIUM
WIF/USD,SHORT,2025-12-28 20:52:00,0.3182,2025-12-28 20:57:00,0.3179,SIGNAL_DECAY,0.94280326838456,CHOP,LOW
FET/USD,SHORT,2025-12-28 21:05:00,0.2186,2025-12-28 21:08:00,0.2186,PROFIT_RATCHET,0.0,TRENDING,LOW
DOGE/USD,SHORT,2025-12-28 21:05:00,0.1242485,2025-12-28 21:11:00,0.1242842,SIGNAL_DECAY,-0.287327412403366,TRENDING,MEDIUM
BONK/USD,SHORT,2025-12-28 21:05:00,8.054e-06,2025-12-28 21:11:00,8.054e-06,SIGNAL_DECAY,0.0,TRENDING,LOW
NEAR/USD,SHORT,2025-12-28 21:05:00,1.58,2025-12-28 21:11:00,1.58,REVERSAL,0.0,TRENDING,MEDIUM
ETH/USD,SHORT,2025-12-28 21:58:00,2939.89,2025-12-28 22:03:00,2940.92,SIGNAL_DECAY,-0.3503532445092164,TRENDING,MEDIUM
SOL/USD,SHORT,2025-12-28 21:59:00,124.2,2025-12-28 22:03:00,124.27,SIGNAL_DECAY,-0.5636070853461608,TRENDING,MEDIUM
DOGE/USD,SHORT,2025-12-28 21:58:00,0.1241593,2025-12-28 22:04:00,0.1241183,REVERSAL,0.330220933913121,TRENDING,HIGH
PEPE/USD,SHORT,2025-12-28 21:58:00,4.195e-06,2025-12-28 22:04:00,4.197e-06,REVERSAL,-0.4767580452920501,TRENDING,MEDIUM
WIF/USD,SHORT,2025-12-28 21:58:00,0.3129,2025-12-28 22:04:00,0.313,REVERSAL,-0.31959092361773406,TRENDING,LOW
FET/USD,SHORT,2025-12-28 21:58:00,0.2183,2025-12-28 22:05:00,0.2187,STOP_LOSS,-1.8323408153917153,TRENDING,HIGH
BONK/USD,SHORT,2025-12-28 22:09:00,8.009e-06,2025-12-28 22:14:00,8.012e-06,SIGNAL_DECAY,-0.3745785990760147,CHOP,HIGH
FET/USD,SHORT,2025-12-28 22:23:00,0.2186,2025-12-28 22:27:00,0.2186,SIGNAL_DECAY,0.0,LOW_VOL,HIGH
